File Path,Line Number,Anti-Pattern Type,Severity,Business Impact,Technical Debt,Description
"\SQLAPI\POS.API\Controllers\DailyProductPrice\DailyProductPriceController.cs","72","Response Wrappers","Medium","Inconsistent API response schema","Low","Returns anonymous object instead of standard ApiResponse."
"\SQLAPI\POS.API\Controllers\FBR\FBRController.cs","17","Controller Leaks","High","Bypasses MediatR and CQRS, tightly coupling API to DB","High","Injects POSDbContext directly into controller."
"\SQLAPI\POS.API\Controllers\FBR\FBRController.cs","42","Response Wrappers","Medium","Inconsistent API response schema","Low","Returns anonymous object instead of standard ApiResponse."
"\SQLAPI\POS.API\Controllers\ImportExportController.cs","39","Response Wrappers","Medium","Inconsistent API response schema","Low","Returns anonymous object instead of standard ApiResponse."
"\SQLAPI\POS.API\Controllers\ImportExportController.cs","70","Response Wrappers","Medium","Inconsistent API response schema","Low","Returns anonymous object instead of standard ApiResponse."
"\SQLAPI\POS.API\Controllers\ImportExportController.cs","149","Response Wrappers","Medium","Inconsistent API response schema","Low","Returns anonymous object instead of standard ApiResponse."
"\SQLAPI\POS.API\Controllers\ImportExportController.cs","220","Response Wrappers","Medium","Inconsistent API response schema","Low","Returns anonymous object instead of standard ApiResponse."
"\SQLAPI\POS.API\Controllers\InventoryBatchController.cs","18","Controller Leaks","High","Bypasses MediatR and CQRS, tightly coupling API to DB","High","Injects POSDbContext directly into controller."
"\SQLAPI\POS.API\Controllers\TenantsController.cs","30","Controller Leaks","High","Bypasses MediatR and CQRS, tightly coupling API to DB","High","Injects POSDbContext directly into controller."
"\SQLAPI\POS.API\Controllers\TenantsController.cs","69","Response Wrappers","Medium","Inconsistent API response schema","Low","Returns anonymous object instead of standard ApiResponse."
"\SQLAPI\POS.API\Controllers\TenantsController.cs","118","Response Wrappers","Medium","Inconsistent API response schema","Low","Returns anonymous object instead of standard ApiResponse."
"\SQLAPI\POS.API\Controllers\TenantsController.cs","140","Response Wrappers","Medium","Inconsistent API response schema","Low","Returns anonymous object instead of standard ApiResponse."
"\SQLAPI\POS.API\Controllers\TenantsController.cs","166","Controller Leaks","High","Business logic state mutation in controller","High","Direct DB persistence in controller."
"\SQLAPI\POS.API\Controllers\TenantsController.cs","187","Response Wrappers","Medium","Inconsistent API response schema","Low","Returns anonymous object instead of standard ApiResponse."
"\SQLAPI\POS.API\Controllers\TenantsController.cs","206","Controller Leaks","High","Business logic state mutation in controller","High","Direct DB persistence in controller."
"\SQLAPI\POS.API\Controllers\TenantsController.cs","222","Response Wrappers","Medium","Inconsistent API response schema","Low","Returns anonymous object instead of standard ApiResponse."
"\SQLAPI\POS.API\Controllers\TenantsController.cs","226","Response Wrappers","Medium","Inconsistent API response schema","Low","Returns anonymous object instead of standard ApiResponse."
"\SQLAPI\POS.Domain\Context\POSDbContext.cs","2","Domain Entanglement","Critical","Domain layer depends on infrastructure, breaking Clean Architecture","High","References EF Core inside Domain project."
"\SQLAPI\POS.Domain\Context\POSDbContextFactory.cs","1","Domain Entanglement","Critical","Domain layer depends on infrastructure, breaking Clean Architecture","High","References EF Core inside Domain project."
"\SQLAPI\POS.Domain\Context\POSDbContextFactory.cs","2","Domain Entanglement","Critical","Domain layer depends on infrastructure, breaking Clean Architecture","High","References EF Core inside Domain project."
"\SQLAPI\POS.Domain\DefaultEntityMappingExtension.cs","1","Domain Entanglement","Critical","Domain layer depends on infrastructure, breaking Clean Architecture","High","References EF Core inside Domain project."
"\SQLAPI\POS.Domain\FBR\FBRInvoiceService.cs","1","Domain Entanglement","Critical","Domain layer depends on infrastructure, breaking Clean Architecture","High","References EF Core inside Domain project."
"\SQLAPI\POS.Domain\ImportExport\CustomerImportExportService.cs","9","Domain Entanglement","Critical","Domain layer depends on infrastructure, breaking Clean Architecture","High","References EF Core inside Domain project."
"\SQLAPI\POS.Domain\ImportExport\ProductImportExportService.cs","9","Domain Entanglement","Critical","Domain layer depends on infrastructure, breaking Clean Architecture","High","References EF Core inside Domain project."
"\SQLAPI\POS.Domain\ImportExport\SupplierImportExportService.cs","9","Domain Entanglement","Critical","Domain layer depends on infrastructure, breaking Clean Architecture","High","References EF Core inside Domain project."
"\SQLAPI\POS.Domain\NLogCommandInterceptor.cs","2","Domain Entanglement","Critical","Domain layer depends on infrastructure, breaking Clean Architecture","High","References EF Core inside Domain project."
"\SQLAPI\POS.Domain\SingleTenantProvider.cs","6","Domain Entanglement","Critical","Domain layer depends on infrastructure, breaking Clean Architecture","High","References EF Core inside Domain project."
"\SQLAPI\POS.Domain\Sync\ChangeTrackingService.cs","1","Domain Entanglement","Critical","Domain layer depends on infrastructure, breaking Clean Architecture","High","References EF Core inside Domain project."
"\SQLAPI\POS.Domain\TenantDataMigrationService.cs","1","Domain Entanglement","Critical","Domain layer depends on infrastructure, breaking Clean Architecture","High","References EF Core inside Domain project."
"\SQLAPI\POS.MediatR\Expense\Handlers\UpdateExpenseCommandHandler.cs","1","Data Integrity Hacks","High","Partial commits can leave DB in inconsistent state","High","Multiple SaveAsync calls without an explicit transaction."
"\SQLAPI\POS.MediatR\PurchaseOrder\Update\UpdatePurchaseOrderReturnCommandHandler.cs","1","Data Integrity Hacks","High","Partial commits can leave DB in inconsistent state","High","Multiple SaveAsync calls without an explicit transaction."
"\SQLAPI\POS.MediatR\StockTransfer\Handlers\AddStockTransferCommandHandler.cs","1","Data Integrity Hacks","High","Partial commits can leave DB in inconsistent state","High","Multiple SaveAsync calls without an explicit transaction."
